['VisualStudio'],['GitHub Extension for Visual Studio'],['C#'],"[['github', 'git', 'c-sharp', 'visual-studio']]"
['brubeck'],['A Statsd-compatible metrics aggregator'],['C'],[[]]
['saml-ldap-team-sync'],['Sync GitHub teams to groups in Active Directory when using SAML'],['Python'],[[]]
['platform-samples'],['A public place for all platform sample projects.'],['Ruby'],"[['ruby', 'sample', 'graphql', 'pre-receive-hooks', 'javascript', 'hooks', 'platform']]"
['gitignore'],['A collection of useful .gitignore templates'],[None],"[['gitignore', 'git']]"
['linguist'],"[""Language Savant. If your repository's language is being reported incorrectly, send us a pull request!""]",['Ruby'],"[['linguistic', 'syntax-highlighting', 'language-grammars', 'language-statistics']]"
['orchestrator'],['MySQL replication topology management and HA'],['Go'],"[['mysql', 'replication', 'high-availability', 'management-system']]"
['glb-director'],['GitHub Load Balancer Director and supporting tooling.'],['C'],[[]]
['dmca'],['Repository with text of DMCA takedown notices as received. GitHub does not endorse or adopt any assertion contained in the following notices. Users identified in the notices are presumed innocent until proven guilty. Additional information about our DMCA policy can be found at'],[None],[['dmca']]
['pages-gem'],['A simple Ruby Gem to bootstrap dependencies for setting up and maintaining a local Jekyll environment in sync with GitHub Pages'],['Ruby'],"[['github', 'ruby', 'jekyll', 'jekyll-plugin', 'ruby-gem', 'jekyll-theme', 'github-pages']]"
['explore'],['Community-curated topic pages on GitHub'],['Ruby'],"[['topics', 'collections', 'community-driven']]"
['ruby'],['The Ruby Programming Language'],['Ruby'],[[]]
['hub'],['hub helps you win at git.'],['Go'],"[['git', 'go', 'homebrew', 'github-api']]"
['opensource.guide'],['Community guides for open source creators'],['JavaScript'],"[['open-source', 'oss', 'tutorial', 'documentation', 'best-practices']]"
['octodns'],['Tools for managing DNS across multiple providers'],['Python'],[[]]
['babel-preset-github'],"[""GitHub.com's Babel configuration""]",['JavaScript'],"[['javascript', 'babel', 'configuration', 'babel-preset', 'transpiler']]"
['gh-ost'],"[""GitHub's Online Schema Migrations for MySQL""]",['Go'],"[['mysql', 'schema-migrations']]"
['freno'],"['freno: cooperative, highly available throttler service']",['Go'],"[['mysql', 'replication', 'throttle', 'high-availability']]"
['cmark-gfm'],"[""GitHub's fork of cmark, a CommonMark parsing and rendering library and program in C""]",['C'],[[]]
['ruby-gpgme'],['a ruby interface to GnuPG Made Easy (GPGME).'],['Ruby'],[[]]
['octocatalog-diff'],"['Compile Puppet catalogs from 2 branches, versions, etc., and compare them']",['Ruby'],[['puppet']]
['government.github.com'],"['Gather, curate, and feature stories of public servants and civic hackers using GitHub as part of their open government innovations']",['HTML'],"[['government', 'open-government', 'stories']]"
['details-menu-element'],['A menu opened with a <details> button.'],['JavaScript'],"[['web-components', 'custom-elements']]"
['gpgme'],['GnuPG Made Easy'],['C'],[[]]
['webpack-config-github'],['An opinionated webpack config for GitHub apps.'],['JavaScript'],[[]]
['site-policy'],"[""Collaborative development on GitHub's site policies, procedures, and guidelines""]",[None],"[['law', 'policy', 'privacy-policy', 'terms-of-service']]"
['backup-utils'],['GitHub Enterprise Backup Utilities'],['Shell'],"[['github-enterprise', 'backups']]"
['clipboard-copy-element'],['Copy element text content or input values to the clipboard.'],['JavaScript'],"[['web-components', 'custom-elements']]"
['chatops-controller'],['A rails plugin to make creating chatops easy'],['Ruby'],[[]]
['g-emoji-element'],"[""Backports native emoji characters to browsers that don't support them by replacing the characters with fallback images.""]",['JavaScript'],"[['emoji', 'web-components', 'custom-elements']]"
['ccql'],['Multi server MySQL client'],['Go'],"[['mysql', 'client']]"
['Scientist.net'],"[""A .NET library for carefully refactoring critical paths. It's a port of GitHub's Ruby Scientist library""]",['C#'],[[]]
['pages-health-check'],['Checks your GitHub Pages site for common DNS configuration issues'],['Ruby'],[[]]
['auto-complete-element'],['Auto-complete input values from server search results.'],['JavaScript'],"[['web-components', 'custom-elements']]"
['vitess-gh'],['Vitess is a database clustering system for horizontal scaling of MySQL.'],['Go'],[[]]
['gemoji'],['Emoji images and names.'],['Ruby'],"[['rubygem', 'emoji', 'ruby', 'unicode']]"
['github-ds'],"[""A collection of Ruby libraries for working with SQL on top of ActiveRecord's connection""]",['Ruby'],"[['mysql', 'ruby', 'rails', 'activerecord', 'sql', 'key-value']]"
['smimesign'],['An S/MIME signing utility for use with Git'],['Go'],[[]]
['combobox-nav'],['Attach combobox navigation behavior to <input> or <textarea>.'],['JavaScript'],"[['autocomplete', 'decorator', 'combobox']]"
['scripts-to-rule-them-all'],['Scripts to Rule Them All'],['Shell'],[[]]
['markup'],['Determines which markup library to use to render a content file (e.g. README) on GitHub'],['Ruby'],[['readme']]
['include-fragment-element'],['A Client Side Includes tag'],['JavaScript'],"[['web-components', 'custom-elements']]"
['graphql-client'],"['A Ruby library for declaring, composing and executing GraphQL queries']",['Ruby'],"[['graphql', 'graphql-client', 'ruby']]"
['github-services'],['Legacy GitHub Services Integration'],['Ruby'],[[]]
['licensed'],['A Ruby gem to cache and verify the licenses of dependencies'],['Ruby'],"[['licensing', 'open-source-licensing', 'dependencies', 'license-management']]"
['training-kit'],['Open source on demand courses and cheat sheets for Git and GitHub'],['HTML'],"[['git', 'training', 'cheatsheet', 'fieldservices', 'professionalservices']]"
['fetch'],['A window.fetch JavaScript polyfill.'],['JavaScript'],"[['fetch', 'polyfill', 'javascript', 'promise']]"
['choosealicense.com'],['A site to provide non-judgmental guidance on choosing a license for your open source project'],['Ruby'],"[['jekyll', 'open-source', 'licensing', 'law', 'open-source-licensing']]"
['markdown-toolbar-element'],['Markdown formatting buttons for text inputs.'],['JavaScript'],"[['markdown', 'web-components', 'custom-elements']]"
['graphql-relay-walker'],['Walk the graph'],['Ruby'],"[['ruby', 'graphql', 'relay']]"
['eslint-plugin-github'],['An opinionated collection of ESLint shared configs and rules used by GitHub.'],['JavaScript'],"[['javascript', 'eslint', 'eslintplugin']]"
['homebrew-bootstrap'],['A series of helper scripts to reduce duplication across `script/bootstrap`s.'],['Ruby'],[[]]
['gov-takedowns'],['Text of government takedown notices as received. GitHub does not endorse or adopt any assertion contained in the following notices.'],[None],[[]]
['rubocop-github'],['Code style checking for GitHub Ruby repositories'],['Ruby'],"[['ruby', 'rubocop']]"
['eventlistener-polyfill'],['Polyfills EventListener behaviours from IE11 onward'],['JavaScript'],[[]]
['github-graphql-rails-example'],"[""Example Rails app using GitHub's GraphQL API""]",['Ruby'],[[]]
['bert'],['BERT (Binary ERlang Term) serialization library for Ruby.'],['Ruby'],[[]]
['hubot-pager-me'],['PagerDuty integration for Hubot'],['CoffeeScript'],[[]]
['babel-plugin-ensure-name-for-custom-elements'],"['This plugin makes sure that your custom elements always have a name property, even after minifying.']",['JavaScript'],"[['babel-plugin', 'custom-elements']]"
['custom-element-boilerplate'],['Boilerplate for creating a custom element.'],['JavaScript'],"[['web-components', 'custom-elements']]"
['janky'],['Continuous integration server built on top of Jenkins and Hubot'],['Ruby'],"[['hubot-script', 'jenkins', 'ruby']]"
['query-selector'],"['Query the document tree by selector, filtering by element type.']",['JavaScript'],"[['flow', 'dom']]"
['SoftU2F'],['Software U2F authenticator for macOS'],['Swift'],"[['macos', 'fido-u2f', 'cryptography']]"
['quote-selection'],['Install a shortcut to append selected text to a <textarea> as a Markdown quote.'],['JavaScript'],"[['markdown', 'decorator']]"
['git-sizer'],"['Compute various size metrics for a Git repository, flagging those that might cause problems']",['Go'],"[['github', 'git', 'golang']]"
['jekyll-commonmark-ghpages'],['CommonMark generator for Jekyll used by GitHub Pages'],['Ruby'],[[]]
['open-source-survey'],['The Open Source Survey'],[None],"[['open-source', 'survey']]"
['user-select-contain-polyfill'],['Polyfills `user-select: contain` property value'],['JavaScript'],[[]]
['jenkins_api_client'],['Ruby Client libraries for communicating with Jenkins Remote Access API'],['Ruby'],[[]]
['ansible-overlay'],['An overlay image of Ansible to do boot time dynamic configuration of stateless systems'],['Shell'],[[]]
['looker-slackbot\n Archived'],['A super cool Slack bot for Looker!'],['CoffeeScript'],[[]]
['training-utils'],['A series of Bash and ZShell scripts useful when teaching about git and GitHub'],['Ruby'],[[]]
['blakejs'],['Pure Javascript implementation of the BLAKE2b and BLAKE2s hash functions'],['JavaScript'],[[]]
['paste-markdown'],['Paste spreadsheet cells as a Markdown table.'],['JavaScript'],"[['markdown', 'clipboard']]"
['replicate'],['Dump and load relational objects between Ruby environments.'],['Ruby'],[[]]
['details-dialog-element'],"[""A modal dialog that's opened with a <details> button.""]",['JavaScript'],"[['web-components', 'custom-elements']]"
